Package,City,Place Tourism1,Place Tourism2,Place Tourism3,Place Tourism4,Place Tourism5,Place Tourism6,Place Tourism7,Place Tourism8
169,Semarang,La Kana Chapel,Brown Canyon,Jembatan Biru Ambarawa,Durian Gardens and Tourism Education Watu Simbar,Pantai Baruna,Durian Gardens and Tourism Education Watu Simbar,Pantai Baruna,Pantai Baruna
170,Bandung,Gunung Tangkuban Perahu,Masjid Raya Bandung,Pesona Nirwana Waterpark & Cottages,Taman Hutan Raya Ir. H. Djuanda,Kebun Tanaman Obat Sari Alam,Taman Hutan Raya Ir. H. Djuanda,Kebun Tanaman Obat Sari Alam,Kebun Tanaman Obat Sari Alam
171,Jakarta,Bumi Perkemahan Cibubur,Taman Suropati,Museum Bahari Jakarta,Mall Thamrin City,,Mall Thamrin City,,
172,Bandung,Curug Luhur Waterfall,Gua Pawon,Alun-Alun Kota Bandung,Rainbow Garden,Curug Cipanas,Rainbow Garden,Curug Cipanas,Curug Cipanas
173,Jakarta,Jembatan Kota Intan,Museum Nasional,Pulau Pramuka,Museum Nasional,Museum Layang-layang,Museum Nasional,Museum Layang-layang,Museum Layang-layang
174,Bandung,Taman Film,Gunung Manglayang,Taman Vanda,Curug Tilu Leuwi Opat,Taman Kupu-Kupu Cihanjuang,Curug Tilu Leuwi Opat,Taman Kupu-Kupu Cihanjuang,Taman Kupu-Kupu Cihanjuang
175,Jakarta,Monas,Taman Impian Jaya Ancol,Pulau Bidadari,Mall Thamrin City,,Mall Thamrin City,,
176,Yogyakarta,Pantai Kukup,Kampung Wisata Kadipaten,Taman Pelangi Jogja,,,,,
177,Jakarta,Waterboom PIK (Pantai Indah Kapuk),Museum Macan (Modern and Contemporary Art in Nusantara),Pulau Pari,Taman Lapangan Banteng,,Taman Lapangan Banteng,,
178,Bandung,Glamping Lakeside Rancabali,Roemah Seni Sarasvati,Curug Dago,Water Park Bandung Indah,Sudut Pandang Bandung,Water Park Bandung Indah,Sudut Pandang Bandung,Sudut Pandang Bandung
179,Bandung,Kiara Artha Park,Kyotoku Floating Market,Bukit Jamur,Rainbow Garden,Kebun Binatang Bandung,Rainbow Garden,Kebun Binatang Bandung,Kebun Binatang Bandung
180,Bandung,Chingu Cafe Little Seoul,Kiara Artha Park,Jendela Alam,Museum Geologi Bandung,Taman Film,Museum Geologi Bandung,Taman Film,Taman Film
181,Surabaya,Taman Kunang-Kunang,Atlantis Land Surabaya,Taman Bungkul,Kenjeran Park,,Kenjeran Park,,
182,Surabaya,Masjid Kapal Semarang,Museum De Javasche Bank,Hutan Bambu Keputih,Museum De Javasche Bank,,Museum De Javasche Bank,,
183,Surabaya,Taman Barunawati,Museum Kesehatan Dr. Adhyatma,Hutan Pinus Kayon,Ekowisata Mangrove Wonorejo,Taman Hiburan Rakyat,Ekowisata Mangrove Wonorejo,Taman Hiburan Rakyat,Taman Hiburan Rakyat
184,Bandung,Jendela Alam,Taman Budaya Jawa Barat,| Peta Park,Curug Aseupan,Museum Mandala Wangsit Siliwangi,Curug Aseupan,Museum Mandala Wangsit Siliwangi,Museum Mandala Wangsit Siliwangi
185,Surabaya,Monumen Tugu Pahlawan,Pantai Ria Kenjeran,Taman Prestasi,Taman Harmoni Keputih,,Taman Harmoni Keputih,,
186,Yogyakarta,Watu Goyang,Pantai Parangtritis,Pantai Jogan,,,,,
187,Surabaya,Taman Flora Bratang Surabaya,Surabaya North Quay,Hutan Pinus Kayon,Museum De Javasche Bank,,Museum De Javasche Bank,,
188,Jakarta,Museum Tekstil,Gereja Katedral,Taman Cattleya,Gereja Katedral,,Gereja Katedral,,
189,Semarang,Wisata Eling Bening,Hutan Wisata Tinjomoyo Semarang,Semarang Chinatown,,,,,
190,Jakarta,Taman Agrowisata Cilangkap,Pulau Pramuka,Pulau Pari,Gereja Katedral,,Gereja Katedral,,
191,Bandung,Bukit Jamur,Kebun Tanaman Obat Sari Alam,Taman Vanda,Masjid Al-Imtizaj,Lawangwangi Creative Space,Masjid Al-Imtizaj,Lawangwangi Creative Space,Lawangwangi Creative Space
192,Yogyakarta,Monumen Serangan Umum 1 Maret,Wisata Kalibiru,Puncak Segoro,,,,,
193,Semarang,Taman Srigunting,Pantai Marina,Kampung Batik Gedong Semarang,Hutan Wisata Tinjomoyo Semarang,Semarang Chinatown,Hutan Wisata Tinjomoyo Semarang,Semarang Chinatown,Semarang Chinatown
194,Yogyakarta,Pantai Nglambor,Pantai Nguluran,Bukit Wisata Pulepayung,,,,,
195,Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,Monumen Bambu Runcing Surabaya,Atlantis Land Surabaya,Museum Kesehatan Dr. Adhyatma,,Museum Kesehatan Dr. Adhyatma,,
196,Surabaya,Klenteng Sanggar Agung,Air Mancur Menari,Monumen Kapal Selam,Patung Buddha Empat Rupa,,Patung Buddha Empat Rupa,,
197,Surabaya,Taman Kunang-Kunang,Museum Mpu Tantular,Patung Buddha Empat Rupa,Museum Mpu Tantular,Taman Ekspresi Dan Perpustakaan,Museum Mpu Tantular,Taman Ekspresi Dan Perpustakaan,Taman Ekspresi Dan Perpustakaan
198,Surabaya,Rumah Batik,Masjid Nasional Al-Akbar,Taman Hiburan Rakyat,Museum Sepuluh Nopember Kota Surabaya,,Museum Sepuluh Nopember Kota Surabaya,,
199,Surabaya,Taman Flora Bratang Surabaya,Monumen Bambu Runcing Surabaya,Taman Hiburan Rakyat,Kenjeran Park,,Kenjeran Park,,
200,Yogyakarta,Embung Tambakboyo,The World Landmarks - Merapi Park Yogyakarta,Geoforest Watu Payung Turunan,Pantai Parangtritis,,Pantai Parangtritis,,
201,Semarang,Taman Kasmaran,Wisata Eling Bening,Indonesia Kaya Park,Kampung Pelangi,,Kampung Pelangi,,
202,Surabaya,Monumen Jalesveva Jayamahe,Rumah Batik,Taman Bungkul,Museum Mpu Tantular,,Museum Mpu Tantular,,
203,Yogyakarta,Wisata Kaliurang,Hutan Pinus Asri,Pantai Samas,,,,,
204,Bandung,Pesona Nirwana Waterpark & Cottages,Ade Irma Suryani Nasution Traffic Park,Dago Dreampark,,,,,
205,Surabaya,Monumen Bambu Runcing Surabaya,Museum De Javasche Bank,Taman Prestasi,Monumen Bambu Runcing Surabaya,,Monumen Bambu Runcing Surabaya,,
206,Yogyakarta,Alun Alun Selatan Yogyakarta,Hutan Pinus Pengger,Puncak Gunung Api Purba - Nglanggeran,Pantai Jogan,,Pantai Jogan,,
207,Bandung,Jendela Alam,Lembang Park & Zoo,Masjid Pusdai,Taman Begonia,Taman Begonia,Taman Begonia,Taman Begonia,Taman Begonia
208,Surabaya,Air Mancur Menari,Atlantis Land Surabaya,Pantai Ria Kenjeran,Pantai Ria Kenjeran,,Pantai Ria Kenjeran,,
209,Jakarta,Ocean Ecopark,Pulau Pramuka,Pulau Pramuka,Taman Impian Jaya Ancol,,Taman Impian Jaya Ancol,,
210,Bandung,Gereja Katedral Santo Petrus Bandung,Taman Vanda,Dago Dreampark,Curug Anom,Kiara Artha Park,Curug Anom,Kiara Artha Park,Kiara Artha Park
211,Surabaya,Taman Buah Surabaya,Taman Prestasi,Taman Keputran,Taman Buah Surabaya,,Taman Buah Surabaya,,
212,Yogyakarta,The Lost World Castle,Pantai Samas,Pantai Jogan,,,,,
213,Yogyakarta,Candi Borobudur,Bendung Lepen,Jurang Tembelan Kanigoro,,,,,
214,Bandung,Rainbow Garden,Gunung Tangkuban Perahu,Taman Vanda,Gereja Katedral Santo Petrus Bandung,,Gereja Katedral Santo Petrus Bandung,,
215,Yogyakarta,Embung Tambakboyo,Pantai Sundak,Pasar Kebon Empring Bintaran,,,,,
216,Jakarta,Taman Spathodea,Museum Wayang,Taman Lapangan Banteng,Pasar Seni,,Pasar Seni,,
217,Semarang,Tugu Muda Semarang,Taman Srigunting,Museum Kereta Ambarawa, Pantai Cipta,Durian Gardens and Tourism Education Watu Simbar, Pantai Cipta,Durian Gardens and Tourism Education Watu Simbar,Durian Gardens and Tourism Education Watu Simbar
218,Jakarta,Pasar Taman Puring,Mall Thamrin City,Taman Menteng,Museum Bahari Jakarta,,Museum Bahari Jakarta,,
219,Surabaya,Taman Mundu,Museum Mpu Tantular,Masjid Muhammad Cheng Hoo,Waterpark Kenjeran Surabaya,Hutan Pinus Kayon,Waterpark Kenjeran Surabaya,Hutan Pinus Kayon,Hutan Pinus Kayon
220,Surabaya,Hutan Pinus Kayon,Patung Buddha Empat Rupa,Taman Harmoni Keputih,Museum De Javasche Bank,,Museum De Javasche Bank,,
221,Surabaya,Surabaya North Quay,Hutan Bambu Keputih,Ekowisata Mangrove Wonorejo,Museum Sepuluh Nopember Kota Surabaya,,Museum Sepuluh Nopember Kota Surabaya,,
222,Jakarta,Pasar Petak Sembilan,Museum Taman Prasasti,Museum Joang 45,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
223,Surabaya,| Food Junction Grand Pakuwon,Surabaya Museum (Gedung Siola),Monumen Tugu Pahlawan,Masjid Kapal Semarang,Taman Keputran,Masjid Kapal Semarang,Taman Keputran,Taman Keputran
224,Jakarta,Wisata Agro Edukatif Istana Susu Cibugary,Taman Impian Jaya Ancol,Hutan Kota Srengseng,Plaza Indonesia,,Plaza Indonesia,,
225,Bandung,Taman Hutan Raya Ir. H. Djuanda,Rainbow Garden,Tebing Karaton,Curug Aseupan,Monumen Bandung Lautan Api,Curug Aseupan,Monumen Bandung Lautan Api,Monumen Bandung Lautan Api
226,Jakarta,Museum Seni Rupa dan Kramik,Taman Agrowisata Cilangkap,Museum Wayang,Museum Satria Mandala,,Museum Satria Mandala,,
227,Yogyakarta,Bentara Budaya Yogyakarta (BBY),Pantai Patihan,Pasar Kebon Empring Bintaran,,,,,
228,Semarang,Sam Poo Kong Temple,Kota Lama Semarang,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo,Pantai Cipta,Obyek Wisata Goa Kreo,Pantai Cipta,Pantai Cipta
229,Semarang,Taman Kasmaran,Taman Tabanas,Wisata Eling Bening,Grand Maerakaca,Taman Pandanaran,Grand Maerakaca,Taman Pandanaran,Taman Pandanaran
230,Semarang,Taman Kasmaran, Pantai Cipta,Kota Lama Semarang,Pura Giri Natha,Kampung Tematik Jawi,Pura Giri Natha,Kampung Tematik Jawi,Kampung Tematik Jawi
231,Bandung,Rainbow Garden,Ade Irma Suryani Nasution Traffic Park,Taman Sejarah Bandung,Panghegar Waterboom Bandung, Panama Park 825,Panghegar Waterboom Bandung, Panama Park 825, Panama Park 825
232,Jakarta,Taman Ayodya,Pasar Taman Puring,Bumi Perkemahan Cibubur,Pulau Bidadari,,Pulau Bidadari,,
233,Bandung,Curug Anom,Curug Cipanas,Chingu Cafe Little Seoul,Museum Nike Ardilla,Museum Konferensi Asia Afrika,Museum Nike Ardilla,Museum Konferensi Asia Afrika,Museum Konferensi Asia Afrika
234,Surabaya,Surabaya Museum (Gedung Siola),Taman Bungkul,Kebun Binatang Surabaya,Monumen Kapal Selam,,Monumen Kapal Selam,,
235,Bandung,Curug Bugbrug,Curug Aseupan,Roemah Seni Sarasvati,Taman Film,Pesona Nirwana Waterpark & Cottages,Taman Film,Pesona Nirwana Waterpark & Cottages,Pesona Nirwana Waterpark & Cottages
236,Jakarta,Pulau Pari,Museum Bahari Jakarta,Freedom Library,Taman Suropati,,Taman Suropati,,
237,Jakarta,Museum Taman Prasasti,Taman Lapangan Banteng,Pasar Petak Sembilan,Museum Perangko,,Museum Perangko,,
238,Semarang,Wisata Mangrove Tapak,Masjid Agung Ungaran,Semarang Contemporary Art Gallery,,,,,
239,Yogyakarta,Candi Prambanan,Pantai Parangtritis,Bentara Budaya Yogyakarta (BBY),,,,,
240,Semarang,Wisata Mangrove Tapak,Benteng Pendem,Museum Kereta Ambarawa,Sam Poo Kong Temple,Air Terjun Semirang,Sam Poo Kong Temple,Air Terjun Semirang,Air Terjun Semirang
241,Jakarta,Taman Ayodya,Tugu Proklamasi,Mall Thamrin City,Museum Perangko,,Museum Perangko,,
242,Jakarta,Pulau Tidung,Mall Thamrin City,Museum Nasional,Perpustakaan Nasional,Taman Impian Jaya Ancol,Perpustakaan Nasional,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol
243,Jakarta,Gereja Katedral,Taman Menteng,Pulau Pelangi,Taman Ayodya,,Taman Ayodya,,
244,Surabaya,Patung Buddha Empat Rupa,Monumen Tugu Pahlawan,Museum De Javasche Bank,Kebun Binatang Surabaya,,Kebun Binatang Surabaya,,
245,Jakarta,Museum Fatahillah,Alive Museum Ancol,Pasar Tanah Abang,Taman Suropati,Pasar Seni,Taman Suropati,Pasar Seni,Pasar Seni
246,Semarang,Semarang Contemporary Art Gallery,Taman Srigunting,Gua Maria Kerep Ambarawa,Wisata Eling Bening,La Kana Chapel,Wisata Eling Bening,La Kana Chapel,La Kana Chapel
247,Yogyakarta,Puncak Kebun Buah Mangunan,Wisata Kalibiru,Seribu Batu Songgo Langit,Desa Wisata Pulesari,Kampung Wisata Taman Sari,Desa Wisata Pulesari,Kampung Wisata Taman Sari,Kampung Wisata Taman Sari
248,Jakarta,Pasar Petak Sembilan,Taman Suropati,Pulau Pramuka,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
249,Surabaya,Kampoeng Rawa,Monumen Bambu Runcing Surabaya,| Food Junction Grand Pakuwon,Rumah Batik,,Rumah Batik,,
250,Jakarta,Galeri Indonesia Kaya,Taman Agrowisata Cilangkap,Bumi Perkemahan Cibubur,Pulau Tidung,,Pulau Tidung,,
251,Semarang,Pura Giri Natha,Wisata Alam Wana Wisata Penggaron,Tugu Muda Semarang,,,,,
252,Semarang,Kota Lama Semarang,Gua Maria Kerep Ambarawa,Kampung Pelangi,,,,,
253,Surabaya,Hutan Pinus Kayon,Jembatan Merah,Food Junction Grand Pakuwon,Air Mancur Menari,,Air Mancur Menari,,
254,Jakarta,Museum Layang-layang,Galeri Indonesia Kaya,Wisata Kuliner Pecenongan,Taman Cattleya,,Taman Cattleya,,
255,Semarang,Kampung Batik Gedong Semarang,Wisata Eling Bening,Gua Maria Kerep Ambarawa,Taman Kasmaran,Tugu Muda Semarang,Taman Kasmaran,Tugu Muda Semarang,Tugu Muda Semarang
256,Bandung,Taman Vanda,Kawasan Punclut,Stone Garden Geopark,Alun-Alun Kota Bandung,Chingu Cafe Little Seoul,Alun-Alun Kota Bandung,Chingu Cafe Little Seoul,Chingu Cafe Little Seoul
257,Bandung,Taman Miniatur Kereta Api,Bukit Jamur,Monumen Perjuangan Rakyat Jawa Barat,,,,,
258,Surabaya,Museum Sepuluh Nopember Kota Surabaya,Taman Bungkul,Taman Hiburan Rakyat,Klenteng Sanggar Agung,Air Mancur Menari,Klenteng Sanggar Agung,Air Mancur Menari,Air Mancur Menari
259,Jakarta,Pulau Pari,Museum Layang-layang,Museum Seni Rupa dan Kramik,Gereja Katedral,,Gereja Katedral,,
260,Jakarta,Wisata Kuliner Pecenongan,Museum Basoeki Abdullah,Freedom Library,Kota Tua,,Kota Tua,,
261,Surabaya,Taman Harmoni Keputih,Museum Sepuluh Nopember Kota Surabaya,Taman Barunawati,Ciputra Waterpark,Masjid Muhammad Cheng Hoo,Ciputra Waterpark,Masjid Muhammad Cheng Hoo,Masjid Muhammad Cheng Hoo
262,Jakarta,Alive Museum Ancol,Taman Cattleya,Museum Satria Mandala,Taman Menteng,,Taman Menteng,,
263,Yogyakarta,Taman Pelangi Jogja,Air Terjun Kedung Pedut,Taman Situ Lembang,,,,,
264,Jakarta,Grand Indonesia Mall,Museum Bank Indonesia,Waterboom PIK (Pantai Indah Kapuk),Museum Wayang,,Museum Wayang,,
265,Semarang,Water Blaster Bukit Candi Golf,Kampung Tematik Jawi,Gua Maria Kerep Ambarawa,Old City 3D Trick Art Museum,Watu Gunung Ungaran,Old City 3D Trick Art Museum,Watu Gunung Ungaran,Watu Gunung Ungaran
266,Jakarta,Museum Layang-layang,Museum Bank Indonesia,Museum Perangko,Taman Mini Indonesia Indah (TMII),Masjid Istiqlal,Taman Mini Indonesia Indah (TMII),Masjid Istiqlal,Masjid Istiqlal
267,Jakarta,Jembatan Kota Intan,Taman Cattleya,Pasar Petak Sembilan,Museum Wayang,,Museum Wayang,,
268,Semarang,Semarang Contemporary Art Gallery,Air Terjun Semirang,Indonesia Kaya Park,Kampung Tematik Jawi,,Kampung Tematik Jawi,,
269,Surabaya,Air Mancur Menari,Atlantis Land Surabaya,Food Junction Grand Pakuwon,Jembatan Merah,,Jembatan Merah,,
270,Yogyakarta,Bukit Wisata Pulepayung,Kebun Teh Nglinggo,Galaxy Waterpark Jogja,,,,,
271,Bandung,Alun-Alun Kota Bandung,Lawangwangi Creative Space,Saung Angklung Mang Udjo,Taman Hutan Raya Ir. H. Djuanda,Orchid Forest Cikole,Taman Hutan Raya Ir. H. Djuanda,Orchid Forest Cikole,Orchid Forest Cikole
272,Surabaya,Rumah Batik,Monumen Bambu Runcing Surabaya,Kebun Bibit Wonorejo,Taman Ekspresi Dan Perpustakaan,Taman Bungkul,Taman Ekspresi Dan Perpustakaan,Taman Bungkul,Taman Bungkul
273,Bandung,Masjid Raya Bandung,Monumen Bandung Lautan Api,Sudut Pandang Bandung,Curug Luhur Waterfall,Caringin Tilu,Curug Luhur Waterfall,Caringin Tilu,Caringin Tilu
274,Jakarta,Masjid Istiqlal,Taman Menteng,Museum Satria Mandala,Masjid Istiqlal,,Masjid Istiqlal,,
275,Semarang,Wisata Alam Wana Wisata Penggaron,Sam Poo Kong Temple,Air Terjun Semirang,,,,,
276,Yogyakarta,Tugu Pal Putih Jogja,Pantai Patihan,Kampung Wisata Taman Sari,Pantai Drini,,Pantai Drini,,
277,Bandung,Curug Malela,Ade Irma Suryani Nasution Traffic Park,Dago Dreampark,Teras Cikapundung BBWS,Situ Patenggang,Teras Cikapundung BBWS,Situ Patenggang,Situ Patenggang
278,Semarang,Brown Canyon,Saloka Theme Park,Hutan Wisata Tinjomoyo Semarang,,,,,
279,Yogyakarta,Nol Kilometer Jl.Malioboro,Watu Goyang,Kawasan Wisata Sosrowijayan,,,,,
280,Jakarta,Bumi Perkemahan Cibubur,Plaza Indonesia,Museum Seni Rupa dan Kramik,Pulau Bidadari,Pulau Pari,Pulau Bidadari,Pulau Pari,Pulau Pari
281,Semarang,Water Blaster Bukit Candi Golf,Brown Canyon,Taman Srigunting,Kota Lama Semarang,Jembatan Biru Ambarawa,Kota Lama Semarang,Jembatan Biru Ambarawa,Jembatan Biru Ambarawa
282,Surabaya,Museum Mpu Tantular,Monumen Bambu Runcing Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,Kampoeng Rawa,,Kampoeng Rawa,,
283,Jakarta,Taman Impian Jaya Ancol,Kota Tua,Perpustakaan Nasional,Taman Ayodya,,Taman Ayodya,,
284,Jakarta,Wisata Agro Edukatif Istana Susu Cibugary,Taman Impian Jaya Ancol,Pasar Tanah Abang,Museum Bahari Jakarta,,Museum Bahari Jakarta,,
285,Surabaya,Patung Buddha Empat Rupa,Hutan Pinus Kayon,Taman Flora Bratang Surabaya,Keraton Surabaya,,Keraton Surabaya,,
286,Semarang,Waduk Jatibarang,Saloka Theme Park,Taman Pandanaran,Masjid Agung Ungaran,Durian Gardens and Tourism Education Watu Simbar,Masjid Agung Ungaran,Durian Gardens and Tourism Education Watu Simbar,Durian Gardens and Tourism Education Watu Simbar
287,Jakarta,SnowBay Waterpark,SnowBay Waterpark,Museum Bahari Jakarta,Mall Thamrin City,,Mall Thamrin City,,
288,Semarang,Tirto Argo Siwarak,Saloka Theme Park,Wisata Lereng Kelir,Museum Kereta Ambarawa,Kampung Batik Gedong Semarang,Museum Kereta Ambarawa,Kampung Batik Gedong Semarang,Kampung Batik Gedong Semarang
289,Bandung,Situ Patenggang,Taman Vanda,Tafso Barn,Bukit Jamur,Museum Konferensi Asia Afrika,Bukit Jamur,Museum Konferensi Asia Afrika,Museum Konferensi Asia Afrika
290,Semarang,Taman Srigunting,Kampoeng Kopi Banaran,Gua Maria Kerep Ambarawa,,,,,
291,Surabaya,Ekowisata Mangrove Wonorejo,Hutan Pinus Kayon,Kebun Bibit Wonorejo,Museum Kesehatan Dr. Adhyatma,,Museum Kesehatan Dr. Adhyatma,,
292,Yogyakarta,Kawasan Wisata Sosrowijayan,Kauman Pakualaman Yogyakarta,Candi Borobudur,Alun Alun Selatan Yogyakarta,,Alun Alun Selatan Yogyakarta,,
293,Jakarta,Taman Suropati,Pulau Pelangi,Pulau Pari,Museum Satria Mandala,,Museum Satria Mandala,,
294,Surabaya,Taman Air Mancur Menari Kenjeran,Taman Keputran,Hutan Bambu Keputih,Monumen Bambu Runcing Surabaya,,Monumen Bambu Runcing Surabaya,,
295,Jakarta,Taman Mini Indonesia Indah (TMII),Museum Basoeki Abdullah,Jembatan Kota Intan,Jakarta Aquarium dan Safari,,Jakarta Aquarium dan Safari,,
296,Surabaya,Kampoeng Rawa,Taman Mundu,Hutan Bambu Keputih,Kebun Binatang Surabaya,Museum De Javasche Bank,Kebun Binatang Surabaya,Museum De Javasche Bank,Museum De Javasche Bank
297,Bandung,Taman Sejarah Bandung,Kiara Artha Park,Kawasan Punclut,,,,,
298,Jakarta,Ocean Ecopark,Pulau Bidadari,Masjid Istiqlal,Monas,,Monas,,
299,Yogyakarta,Pantai Patihan,Pantai Drini,Tebing Breksi,,,,,
300,Surabaya,Taman Prestasi,House of Sampoerna,Gereja Perawan Maria Tak Berdosa Surabaya,Atlantis Land Surabaya,,Atlantis Land Surabaya,,
301,Yogyakarta,Tugu Pal Putih Jogja,Pantai Jogan,Alun-alun Utara Keraton Yogyakarta,,,,,
302,Semarang,Pantai Baruna,Kampung Tematik Jawi,Pantai Marina,Wisata Lereng Kelir,Hutan Wisata Tinjomoyo Semarang,Wisata Lereng Kelir,Hutan Wisata Tinjomoyo Semarang,Hutan Wisata Tinjomoyo Semarang
303,Bandung,Gua Pawon,Monumen Bandung Lautan Api, Panama Park 825,| Peta Park,Masjid Raya Bandung,| Peta Park,Masjid Raya Bandung,Masjid Raya Bandung
304,Jakarta,Taman Agrowisata Cilangkap,Taman Ayodya,Taman Menteng,Ocean Ecopark,,Ocean Ecopark,,
305,Surabaya,Taman Harmoni Keputih,Pantai Ria Kenjeran,Taman Mundu,Hutan Bambu Keputih,,Hutan Bambu Keputih,,
306,Yogyakarta,Taman Pelangi Jogja,Kauman Pakualaman Yogyakarta,Tugu Pal Putih Jogja,,,,,
307,Semarang,Tugu Muda Semarang,Semarang Chinatown,Air Terjun Semirang,Pantai Marina,Museum Kereta Ambarawa,Pantai Marina,Museum Kereta Ambarawa,Museum Kereta Ambarawa
308,Semarang,Tugu Muda Semarang,Old City 3D Trick Art Museum,Watu Gunung Ungaran,Kampung Tematik Jawi,Sam Poo Kong Temple,Kampung Tematik Jawi,Sam Poo Kong Temple,Sam Poo Kong Temple
309,Surabaya,Taman Harmoni Keputih,Food Junction Grand Pakuwon,Keraton Surabaya,Air Mancur Menari,,Air Mancur Menari,,
310,Yogyakarta,Candi Borobudur,Watu Lumbung,Wisata Kaliurang,,,,,
311,Jakarta,Monas,Museum Nasional,Museum Perangko,Pulau Pramuka,,Pulau Pramuka,,
312,Semarang,Umbul Sidomukti,Hutan Wisata Tinjomoyo Semarang,Tugu Muda Semarang,,,,,
313,Bandung,Monumen Bandung Lautan Api,Curug Cipanas,Taman Vanda,Situ Patenggang,Water Park Bandung Indah,Situ Patenggang,Water Park Bandung Indah,Water Park Bandung Indah
314,Jakarta,Taman Lapangan Banteng,Taman Menteng,Taman Menteng,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
315,Semarang, Pantai Cipta,Waduk Jatibarang,Masjid Agung Ungaran,Candi Gedong Songo,Semarang Chinatown,Candi Gedong Songo,Semarang Chinatown,Semarang Chinatown
316,Semarang,Semarang Contemporary Art Gallery,Hutan Wisata Tinjomoyo Semarang,Pantai Marina,Indonesia Kaya Park,Brown Canyon,Indonesia Kaya Park,Brown Canyon,Pulau Pramuka
317,Surabaya,Kebun Binatang Surabaya,Museum Sepuluh Nopember Kota Surabaya,Taman Prestasi,Kampoeng Rawa,,Kampoeng Rawa,,
318,Yogyakarta,Watu Lumbung,The World Landmarks - Merapi Park Yogyakarta,Pantai Jogan,Lava Bantal,,Lava Bantal,,
319,Bandung,Masjid Pusdai,Tebing Karaton,Masjid Al-Imtizaj,,,,,
320,Semarang,Waduk Jatibarang,Monumen Palagan Ambarawa,Wisata Mangrove Tapak,Wisata Eling Bening,Wisata Lereng Kelir,Wisata Eling Bening,Wisata Lereng Kelir,Wisata Lereng Kelir
321,Semarang,La Kana Chapel,Tirto Argo Siwarak,Kampung Batik Gedong Semarang,Candi Gedong Songo,Wisata Lereng Kelir,Candi Gedong Songo,Wisata Lereng Kelir,Wisata Lereng Kelir
322,Yogyakarta,Goa Rancang Kencono,Watu Lumbung,Candi Prambanan,,,,,
323,Bandung,Masjid Pusdai,Lawangwangi Creative Space,NuArt Sculpture Park,Gunung Manglayang,Chingu Cafe Little Seoul,Gunung Manglayang,Chingu Cafe Little Seoul,Chingu Cafe Little Seoul
324,Semarang,Pantai Marina,Jembatan Biru Ambarawa,GPIB Immanuel Semarang (Gereja Blenduk),Wisata Alam Wana Wisata Penggaron,Kampung Tematik Jawi,Wisata Alam Wana Wisata Penggaron,Kampung Tematik Jawi,Kampung Tematik Jawi
325,Semarang,Brown Canyon,Kampung Pelangi,Umbul Sidomukti,Water Blaster Bukit Candi Golf,Candi Gedong Songo,Water Blaster Bukit Candi Golf,Candi Gedong Songo,Candi Gedong Songo
326,Bandung,Curug Bugbrug,Trans Studio Bandung,Lembang Park & Zoo,Curug Luhur Waterfall,Taman Miniatur Kereta Api,Curug Luhur Waterfall,Taman Miniatur Kereta Api,Taman Miniatur Kereta Api
327,Semarang,Pantai Cipta,Grand Maerakaca,Waduk Jatibarang,Wisata Lereng Kelir,Watu Gunung Ungaran,Wisata Lereng Kelir,Watu Gunung Ungaran,Watu Gunung Ungaran
328,Yogyakarta,Pantai Nguluran,Bentara Budaya Yogyakarta (BBY),The Lost World Castle,,,,,
329,Semarang,Lawang Sewu,Taman Tabanas, Pantai Cipta,Kampoeng Djadhoel Semarang,Kampung Batik Gedong Semarang,Kampoeng Djadhoel Semarang,Kampung Batik Gedong Semarang,Kampung Batik Gedong Semarang
330,Jakarta,Galeri Indonesia Kaya,Grand Indonesia Mall,Gereja Katedral,Museum Nasional,,Museum Nasional,,
331,Bandung,Kyotoku Floating Market,| Peta Park,Taman Balai Kota Bandung,Bukit Jamur,Gunung Papandayan,Bukit Jamur,Gunung Papandayan,Gunung Papandayan
332,Yogyakarta,De Mata Museum Jogja,De Mata Museum Jogja,Green Village Gedangsari,Pantai Indrayanti,,Pantai Indrayanti,,
333,Bandung,Masjid Pusdai,Gunung Papandayan,| Peta Park,Kyotoku Floating Market,,Kyotoku Floating Market,,
334,Jakarta,Alive Museum Ancol,Perpustakaan Nasional,Taman Cattleya,Taman Cattleya,,Taman Cattleya,,
